"_","Id","OwnerId","IsDeleted","Process_Flow__r","Process_Flow__r.Name","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","Activate_On_Creation__c","Active__c","Choose_Next_Owner__c","Conditional_Required_More_Info_Allowed__c","Department_Queue__c","Department__c","Description__c","Dont_Activate__c","Duration_To_Complete_In_Days__c","Duration_To_Complete_In_Hourss__c","Escalation_assigner__c","Escalation_assigner_time__c","Execute_on_submit__c","Expression__c","Field_Rendering__c","Fields_Display_Query__c","Form_Rendering__c","Is_Assigned_TO__c","Is_Multi_Select_Reopen__c","Is_Process_End__c","Is_Reject_Button_Required__c","Is_Required_More_Button_Required__c","Is_Review_Comments_Req__c","Is_Sequence_Business_Process_Available__c","Is_Single_Level_Required_Info__c","Is_Submit_to_Next_Department_Required__c","Is_check_List__c","Next_Approver_CC_Addresses__c","Next_Approver_Email_Template_Name__c","Owner_Assignment__c","Previous_Approver_s_Email_Template_Name__c","Process_Flow__c","Process_Identifier_Option_Values__c","Process_Identifier__c","Rejection_Email_Template_Name__c","Section_Number__c","Send_Approved_Email_to_Previous_Approver__c","Setp_No__c","Skip_Step_To_Reopen__c","Step_Entry_Criteria__c","Step_Name__c","User__c","View_review_comments__c","canMassUpdate__c","isSingleUser__c","section_Name__c"
"[Process_Flow_Step__c]","a0Fg5000001KWfBEAW","005g5000002JmPZAA0","false","[Process_Flow__c]","SPA Execution","PFS-0001","2026-01-17T10:10:45.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-06T06:37:43.000+0000","2026-02-06T06:37:43.000+0000","false","true","false","false","00Gg5000001Z9iH","Account","Step 2","false","1","0","","","false","","false","","false","false","true","false","true","true","true","false","false","false","false","","","","","a0Gg5000001YrMHEA0","","","","2","false","2","false","","Step 2","","false","true","false","Section 2"
"[Process_Flow_Step__c]","a0Fg5000001KsZxEAK","005g5000002JmPZAA0","false","[Process_Flow__c]","SPA Execution","PFS-0000","2026-01-17T10:07:44.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg5000001Z9iH","Account","Development - Providing Complete Project Details","false","1","0","","","false","","false","","false","false","true","false","true","true","false","false","false","false","false","","","","","a0Gg5000001YrMHEA0","","","","1","false","1","false","","Development - Providing Complete Project Details","","false","true","false","Section 1"
"[Process_Flow_Step__c]","a0Fg5000001unYZEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","SPA Execution","PFS-0002","2026-02-01T06:44:31.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg5000001Z9iH","Account","Step 3","false","1","0","","","false","","false","","false","false","true","true","false","true","false","true","false","false","false","","","","","a0Gg5000001YrMHEA0","","","","2","false","3","false","","Step 3","","false","true","false","Section 2"
"[Process_Flow_Step__c]","a0Fg5000001uo81EAA","005g5000002JmPZAA0","false","[Process_Flow__c]","SPA Execution","PFS-0003","2026-02-01T06:45:54.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg5000001Z9iH","Account","Step 4","false","1","0","","","false","","false","","false","false","true","true","false","true","false","false","false","false","false","","","","","a0Gg5000001YrMHEA0","","","","3","false","4","false","","Step 4","","false","true","false","Section 3"
"[Process_Flow_Step__c]","a0Fg5000001w0a9EAA","005g5000002JmPZAA0","false","[Process_Flow__c]","SPA Execution","PFS-0004","2026-02-01T16:10:06.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg5000001Z9iH","Account","Step 5","false","1","0","","","false","","false","","false","false","true","true","false","true","false","false","false","false","false","","","","","a0Gg5000001YrMHEA0","","","","3","false","5","false","","Step 5","","false","true","false","Section 3"
"[Process_Flow_Step__c]","a0Fg50000022yNBEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Handover Process","PFS-0007","2026-02-04T06:27:01.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg500000259Sw","Handover","ACD Extension","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000025CtpEAE","","","","1","false","1","false","","ACD Extension","","false","true","false","Handover"
"[Process_Flow_Step__c]","a0Fg500000230onEAA","005g5000002JmPZAA0","false","[Process_Flow__c]","Handover Process","PFS-0018","2026-02-04T06:42:16.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg500000259Sw","Handover","Ready For Occupancy Letter","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000025CtpEAE","","","","1","false","2","false","","Ready For Occupancy Letter","","false","true","false","Handover"
"[Process_Flow_Step__c]","a0Fg500000239aLEAQ","005g5000002JmPZAA0","false","[Process_Flow__c]","Handover Process","PFS-0005","2026-02-04T06:11:44.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg500000259Sw","Handover","QA Snagging","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000025CtpEAE","","","","1","false","3","false","","QA Snagging","","false","true","false","Handover"
"[Process_Flow_Step__c]","a0Fg50000023FKlEAM","005g5000002JmPZAA0","false","[Process_Flow__c]","Handover Process","PFS-0006","2026-02-04T06:26:20.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg500000259Sw","Handover","QA De Snagging","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000025CtpEAE","","","","1","false","4","false","","QA De Snagging","","false","true","false","Handover"
"[Process_Flow_Step__c]","a0Fg50000023QrHEAU","005g5000002JmPZAA0","false","[Process_Flow__c]","Handover Process","PFS-0016","2026-02-04T06:41:07.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","005g5000002JmPZAA0","2026-02-05T12:17:03.000+0000","","2026-02-05T12:17:03.000+0000","2026-02-05T12:17:03.000+0000","false","true","false","false","00Gg500000259Sw","Handover","Customer De Sagging","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000025CtpEAE","","","","1","false","5","false","","Customer De Sagging","","false","true","false","Handover"
